feature_set,model,mae_mean,mae_std,rmse_mean,r2_mean,smape_mean
CORE_PM10,RandomForest,18.841535426826468,10.348482820297635,41.839408785846175,0.18494215394599325,47.71049766870258
CORE_PM10_TSP,RandomForest,18.903226579308182,10.36948396657437,41.836697864312164,0.18449838480751712,47.966072593516245
CORE,RandomForest,18.937215045713053,10.638566655386294,41.81941023663353,0.18381672313197578,47.97658129817439
CORE,Rolling7_Baseline,19.254111392307237,8.666634233306517,41.75540274121738,-0.007136215918555289,50.690309126550666
CORE_PM10,Rolling7_Baseline,19.254111392307237,8.666634233306517,41.75540274121738,-0.007136215918555289,50.690309126550666
CORE_PM10_TSP,Rolling7_Baseline,19.254111392307237,8.666634233306517,41.75540274121738,-0.007136215918555289,50.690309126550666
CORE_TSP,Rolling7_Baseline,19.254111392307237,8.666634233306517,41.75540274121738,-0.007136215918555289,50.690309126550666
CORE_TSP,RandomForest,19.583811988791343,11.080706659564855,41.99539049824918,0.17133889822511708,49.27544495015359
CORE_PM10,XGBoost,19.675157285096912,10.094636945374745,42.09541658056596,0.13476933431594756,50.122942415590124
CORE_PM10,CatBoost,19.84082701882097,10.34480635899018,42.9262997310195,0.1343782577734132,51.192842394869125
CORE_PM10,LightGBM,19.86461931950325,10.108843525402731,42.396349412588606,0.1120524135311102,50.36284670085196
CORE_PM10_TSP,XGBoost,19.865217822731864,9.711085095156875,42.717661370141556,0.04855948910562049,49.49763363916731
CORE,XGBoost,19.886492089547055,10.598644331910233,42.01993124940072,0.13771308431163104,50.627560561334846
CORE_PM10_TSP,CatBoost,20.00098054137203,10.479517118791678,42.994705937239885,0.13181663513996275,51.54425679036707
CORE,CatBoost,20.02461722823624,10.902321064000818,43.247001113775994,0.12005885797137472,51.29368470595406
CORE_PM10_TSP,LightGBM,20.036186083150923,10.54212485726837,42.5213787407577,0.10220521418499837,50.683838852147645
CORE,LightGBM,20.210497195659478,10.635897600788724,42.41042761161417,0.12486048278343616,51.652700706121436
CORE_TSP,XGBoost,20.288599583975476,10.041956371416578,42.587906706119135,0.03874249559007927,50.67579054344961
CORE_TSP,CatBoost,20.46657668594832,10.926996371951635,43.63777763805733,0.0811301311763474,51.755027334264994
CORE_TSP,LightGBM,20.743893577532965,10.942862677283408,42.75462598965422,0.08056711328263177,52.47433838276339
