model,feature_set,MAE_mean,MAE_std,RMSE_mean,RMSE_std,R2_mean,R2_std,MedAE_mean,MedAE_std
Ridge,AR + Weather,19.251616487054445,4.28070917044784,28.679906656095632,7.976837013795697,0.2836288371199072,0.17225407651476893,12.784914159357932,1.8871161125671179
Ridge,Full,19.31596488692519,4.287634533514205,28.7814979443504,7.928711356890634,0.27848374005499404,0.16785457511525634,12.654145365653521,2.014860302455097
RandomForest,Full,19.639450642823515,5.275756344219191,29.16847575611534,8.748709893215167,0.25726698874718573,0.23761606173140204,12.786525448520077,3.5531572868829673
RandomForest,AR + Weather,19.655024690609196,5.230667960918798,29.18662260561779,8.72814556805859,0.257056511817957,0.23155536949017938,12.630874241138768,3.3015684043567073
Ridge,Weather only,20.640402953206376,5.495245503248151,29.013865311063295,7.648117962308142,0.21425862082340422,0.42679034637527746,14.672522488983281,4.055301409800892
HistGradientBoosting,Full,19.77322427187704,4.461799436133986,29.689721866946833,7.421446197051959,0.20994834778451735,0.27166168243704486,12.936248810375776,2.6626869442177954
RandomForest,Weather only,21.06758129017478,5.68551419758373,29.660668652780664,7.80057253223045,0.1941604202403162,0.38364668417115555,15.503840266616583,4.785720231087088
HistGradientBoosting,AR + Weather,20.18457483693636,4.839245970434386,30.080145998909096,7.8647523167867694,0.1871200118099515,0.30437168820759436,13.245698070430787,2.968071599176506
WeightedRidge,Full,21.096843902759527,2.587563166055398,30.543693357251946,4.852900030613191,0.1538954166905984,0.18188646525236588,14.319364874313829,1.1284200033745466
WeightedRidge,AR + Weather,21.098262721206304,2.569659620976209,30.52756957266406,4.887041386928489,0.1533311834651887,0.19391483625150863,14.376392725843086,0.9585850072782578
HistGradientBoosting,Weather only,21.621750457797464,5.47658055183376,30.410689380840086,6.678641011453007,0.12439038596743772,0.4484609406919082,15.868712814408577,5.651597704436161
Ridge,AR + Calendar,21.72665982697306,4.816724592875773,32.08060354394159,8.94820122681014,0.11355277284418211,0.13373281648631774,14.418222139686813,2.1384290118085407
RandomForest,AR + Calendar,21.7662533129374,5.023720320342579,32.44395664836158,8.911548666730518,0.08990625594200663,0.16720668037922737,14.230280634608302,2.386860118533225
Ridge,AR only,21.713873054562736,5.108691148260946,32.69030401088083,8.890372866603608,0.07734111193922051,0.13775603676313988,14.140657142391508,2.74117885934428
RandomForest,AR only,21.7863693690226,5.129439160943282,32.978589681130224,8.980675573359845,0.05984497185800384,0.1599013410033458,13.710391515218628,2.227188486217864
HistGradientBoosting,AR only,22.762595195327552,5.299915652174865,33.94119215625868,8.841085361495457,-0.004578947178684123,0.20496641597018725,14.99024977074462,2.8795127927548863
WeightedRidge,AR + Calendar,24.453117263088274,3.5942683515170146,33.69865126852831,6.8071281992961605,-0.008085755453163302,0.15907685736586707,17.720999976885317,2.0016683054828155
HistGradientBoosting,AR + Calendar,23.09520696672492,4.811908743804414,34.01852709374491,8.57438315476655,-0.020963481235483417,0.26940457326403805,14.969049376728563,2.443871990813067
WeightedRidge,Weather only,24.355763571269954,5.805308239764116,33.869776704824304,7.766196309065989,-0.08592908306085975,0.5566439804757926,17.429918460330917,4.1036224567545085
WeightedRidge,AR only,24.83021097838772,5.155172290313509,37.091082421147085,10.223987279543929,-0.32671720254782927,0.8726774769243945,17.045460298543183,3.073992400688826
